,scr_num,date_time,trd_px,trd_vol,trd_amt,trd_clas,buy_num,sell_num,trd_index,channel_no,biz_index
0,000001.XSHE,2023-11-22 09:15:00.030,0.0,100,0.0,4,2332,0,2334,2012,0
1,000001.XSHE,2023-11-22 09:15:00.160,0.0,10700,0.0,4,41191,0,41224,2012,0
2,000001.XSHE,2023-11-22 09:15:00.520,0.0,16700,0.0,4,0,86900,86901,2012,0
3,000001.XSHE,2023-11-22 09:15:00.590,0.0,3500,0.0,4,80122,0,93987,2012,0
4,000001.XSHE,2023-11-22 09:15:01.370,0.0,100,0.0,4,142720,0,144091,2012,0
5,000001.XSHE,2023-11-22 09:15:01.380,0.0,100,0.0,4,142794,0,144159,2012,0
6,000001.XSHE,2023-11-22 09:15:01.420,0.0,100,0.0,4,135005,0,145953,2012,0
7,000001.XSHE,2023-11-22 09:15:01.680,0.0,1000,0.0,4,54678,0,159237,2012,0
8,000001.XSHE,2023-11-22 09:15:01.710,0.0,100,0.0,4,133211,0,160414,2012,0
9,000001.XSHE,2023-11-22 09:15:01.710,0.0,100,0.0,4,136857,0,160467,2012,0
10,000001.XSHE,2023-11-22 09:15:02.260,0.0,3000,0.0,4,181536,0,181537,2012,0
11,000001.XSHE,2023-11-22 09:15:02.450,0.0,100,0.0,4,287,0,186801,2012,0
12,000001.XSHE,2023-11-22 09:15:02.460,0.0,100,0.0,4,155269,0,187074,2012,0
13,000001.XSHE,2023-11-22 09:15:02.460,0.0,100,0.0,4,155270,0,187075,2012,0
14,000001.XSHE,2023-11-22 09:15:02.510,0.0,100,0.0,4,154968,0,188949,2012,0
15,000001.XSHE,2023-11-22 09:15:02.510,0.0,100,0.0,4,154967,0,188950,2012,0
16,000001.XSHE,2023-11-22 09:15:02.560,0.0,100,0.0,4,138694,0,190552,2012,0
17,000001.XSHE,2023-11-22 09:15:02.560,0.0,100,0.0,4,140857,0,190576,2012,0
18,000001.XSHE,2023-11-22 09:15:02.560,0.0,100,0.0,4,143284,0,190578,2012,0
19,000001.XSHE,2023-11-22 09:15:02.560,0.0,100,0.0,4,145091,0,190598,2012,0
20,000001.XSHE,2023-11-22 09:15:02.620,0.0,100,0.0,4,177227,0,193034,2012,0
21,000001.XSHE,2023-11-22 09:15:03.130,0.0,1000,0.0,4,206505,0,206511,2012,0
22,000001.XSHE,2023-11-22 09:15:03.510,0.0,50000,0.0,4,89512,0,212768,2012,0
23,000001.XSHE,2023-11-22 09:15:04.020,0.0,1000,0.0,4,221813,0,221815,2012,0
24,000001.XSHE,2023-11-22 09:15:04.490,0.0,100,0.0,4,226130,0,226133,2012,0
25,000001.XSHE,2023-11-22 09:15:04.640,0.0,100,0.0,4,227610,0,227611,2012,0
26,000001.XSHE,2023-11-22 09:15:05.590,0.0,100,0.0,4,150997,0,234382,2012,0
27,000001.XSHE,2023-11-22 09:15:05.600,0.0,100,0.0,4,151637,0,234412,2012,0
28,000001.XSHE,2023-11-22 09:15:05.620,0.0,100,0.0,4,232227,0,234491,2012,0
29,000001.XSHE,2023-11-22 09:15:05.640,0.0,100,0.0,4,152533,0,234588,2012,0
30,000001.XSHE,2023-11-22 09:15:05.780,0.0,100,0.0,4,158786,0,234958,2012,0
31,000001.XSHE,2023-11-22 09:15:06.240,0.0,100,0.0,4,142979,0,236547,2012,0
32,000001.XSHE,2023-11-22 09:15:08.620,0.0,100,0.0,4,239941,0,240467,2012,0
33,000001.XSHE,2023-11-22 09:15:10.000,0.0,100,0.0,4,241539,0,241544,2012,0
34,000001.XSHE,2023-11-22 09:15:10.000,0.0,200,0.0,4,241540,0,241545,2012,0
35,000001.XSHE,2023-11-22 09:15:10.000,0.0,100,0.0,4,241542,0,241546,2012,0
36,000001.XSHE,2023-11-22 09:15:10.000,0.0,200,0.0,4,241543,0,241547,2012,0
37,000001.XSHE,2023-11-22 09:15:11.240,0.0,100,0.0,4,241947,0,242372,2012,0
38,000001.XSHE,2023-11-22 09:15:11.620,0.0,100,0.0,4,242330,0,242670,2012,0
39,000001.XSHE,2023-11-22 09:15:12.010,0.0,100,0.0,4,165192,0,242871,2012,0
40,000001.XSHE,2023-11-22 09:15:14.620,0.0,100,0.0,4,243567,0,243709,2012,0
41,000001.XSHE,2023-11-22 09:15:17.200,0.0,100,0.0,4,3422,0,244513,2012,0
42,000001.XSHE,2023-11-22 09:15:17.620,0.0,100,0.0,4,244495,0,244579,2012,0
43,000001.XSHE,2023-11-22 09:15:18.260,0.0,100,0.0,4,848,0,244677,2012,0
44,000001.XSHE,2023-11-22 09:15:20.620,0.0,100,0.0,4,245072,0,245143,2012,0
45,000001.XSHE,2023-11-22 09:15:22.110,0.0,100,0.0,4,191,0,245472,2012,0
46,000001.XSHE,2023-11-22 09:15:23.620,0.0,100,0.0,4,245686,0,245783,2012,0
47,000001.XSHE,2023-11-22 09:15:26.620,0.0,100,0.0,4,246296,0,246400,2012,0
48,000001.XSHE,2023-11-22 09:15:26.680,0.0,100,0.0,4,244492,0,246406,2012,0
49,000001.XSHE,2023-11-22 09:15:29.620,0.0,100,0.0,4,246756,0,246822,2012,0
50,000001.XSHE,2023-11-22 09:15:32.200,0.0,100,0.0,4,243023,0,247270,2012,0
51,000001.XSHE,2023-11-22 09:15:32.210,0.0,100,0.0,4,242995,0,247271,2012,0
52,000001.XSHE,2023-11-22 09:15:32.620,0.0,100,0.0,4,247256,0,247342,2012,0
53,000001.XSHE,2023-11-22 09:15:33.080,0.0,100,0.0,4,243213,0,247389,2012,0
54,000001.XSHE,2023-11-22 09:15:33.090,0.0,100,0.0,4,243375,0,247392,2012,0
55,000001.XSHE,2023-11-22 09:15:33.090,0.0,100,0.0,4,243160,0,247393,2012,0
56,000001.XSHE,2023-11-22 09:15:33.100,0.0,100,0.0,4,243121,0,247394,2012,0
57,000001.XSHE,2023-11-22 09:15:33.100,0.0,100,0.0,4,243126,0,247395,2012,0
58,000001.XSHE,2023-11-22 09:15:33.100,0.0,100,0.0,4,243125,0,247397,2012,0
59,000001.XSHE,2023-11-22 09:15:33.110,0.0,100,0.0,4,243219,0,247401,2012,0
60,000001.XSHE,2023-11-22 09:15:33.120,0.0,100,0.0,4,243215,0,247405,2012,0
61,000001.XSHE,2023-11-22 09:15:33.120,0.0,100,0.0,4,243153,0,247406,2012,0
62,000001.XSHE,2023-11-22 09:15:33.120,0.0,100,0.0,4,243152,0,247407,2012,0
63,000001.XSHE,2023-11-22 09:15:33.140,0.0,100,0.0,4,243214,0,247415,2012,0
64,000001.XSHE,2023-11-22 09:15:33.160,0.0,100,0.0,4,243222,0,247419,2012,0
65,000001.XSHE,2023-11-22 09:15:33.190,0.0,100,0.0,4,243246,0,247429,2012,0
66,000001.XSHE,2023-11-22 09:15:33.190,0.0,100,0.0,4,243229,0,247430,2012,0
67,000001.XSHE,2023-11-22 09:15:33.350,0.0,100,0.0,4,243336,0,247472,2012,0
68,000001.XSHE,2023-11-22 09:15:33.350,0.0,100,0.0,4,243293,0,247473,2012,0
69,000001.XSHE,2023-11-22 09:15:33.380,0.0,100,0.0,4,243335,0,247492,2012,0
70,000001.XSHE,2023-11-22 09:15:33.410,0.0,100,0.0,4,243347,0,247521,2012,0
71,000001.XSHE,2023-11-22 09:15:33.410,0.0,100,0.0,4,243312,0,247522,2012,0
72,000001.XSHE,2023-11-22 09:15:33.420,0.0,100,0.0,4,243346,0,247532,2012,0
73,000001.XSHE,2023-11-22 09:15:33.420,0.0,100,0.0,4,243358,0,247533,2012,0
74,000001.XSHE,2023-11-22 09:15:33.420,0.0,100,0.0,4,243345,0,247534,2012,0
75,000001.XSHE,2023-11-22 09:15:33.520,0.0,100,0.0,4,243395,0,247554,2012,0
76,000001.XSHE,2023-11-22 09:15:33.770,0.0,100,0.0,4,243583,0,247589,2012,0
77,000001.XSHE,2023-11-22 09:15:33.780,0.0,100,0.0,4,243536,0,247591,2012,0
78,000001.XSHE,2023-11-22 09:15:33.810,0.0,100,0.0,4,243538,0,247598,2012,0
79,000001.XSHE,2023-11-22 09:15:33.810,0.0,100,0.0,4,243392,0,247600,2012,0
80,000001.XSHE,2023-11-22 09:15:33.830,0.0,100,0.0,4,243534,0,247602,2012,0
81,000001.XSHE,2023-11-22 09:15:33.880,0.0,100,0.0,4,243468,0,247610,2012,0
82,000001.XSHE,2023-11-22 09:15:33.900,0.0,100,0.0,4,243528,0,247613,2012,0
83,000001.XSHE,2023-11-22 09:15:33.940,0.0,100,0.0,4,243530,0,247617,2012,0
84,000001.XSHE,2023-11-22 09:15:33.940,0.0,100,0.0,4,243464,0,247618,2012,0
85,000001.XSHE,2023-11-22 09:15:33.960,0.0,100,0.0,4,243533,0,247621,2012,0
