,scr_num,date_time,entr_px,entr_vol,entr_direction,entr_orde_no,entr_index,channel_no,entr_clas,biz_index
0,000001.XSHE,2023-11-22 09:15:00.000,9.33,100,1,0,48,2012,2,0
1,000001.XSHE,2023-11-22 09:15:00.000,9.3,100,1,0,52,2012,2,0
2,000001.XSHE,2023-11-22 09:15:00.000,11.3,100,2,0,129,2012,2,0
3,000001.XSHE,2023-11-22 09:15:00.000,9.27,100,1,0,191,2012,2,0
4,000001.XSHE,2023-11-22 09:15:00.000,9.25,100,1,0,206,2012,2,0
5,000001.XSHE,2023-11-22 09:15:00.000,9.27,100,1,0,287,2012,2,0
6,000001.XSHE,2023-11-22 09:15:00.000,9.25,100,1,0,355,2012,2,0
7,000001.XSHE,2023-11-22 09:15:00.000,9.25,100,1,0,461,2012,2,0
8,000001.XSHE,2023-11-22 09:15:00.020,9.25,100,1,0,796,2012,2,0
9,000001.XSHE,2023-11-22 09:15:00.020,9.25,100,1,0,797,2012,2,0
10,000001.XSHE,2023-11-22 09:15:00.020,9.25,100,1,0,798,2012,2,0
11,000001.XSHE,2023-11-22 09:15:00.020,9.27,100,1,0,848,2012,2,0
12,000001.XSHE,2023-11-22 09:15:00.020,9.25,100,1,0,1012,2012,2,0
13,000001.XSHE,2023-11-22 09:15:00.030,10.58,800,2,0,1125,2012,2,0
14,000001.XSHE,2023-11-22 09:15:00.030,10.69,800,2,0,1126,2012,2,0
15,000001.XSHE,2023-11-22 09:15:00.030,10.88,800,2,0,1127,2012,2,0
16,000001.XSHE,2023-11-22 09:15:00.030,10.99,800,2,0,1143,2012,2,0
17,000001.XSHE,2023-11-22 09:15:00.030,10.99,900,2,0,1144,2012,2,0
18,000001.XSHE,2023-11-22 09:15:00.030,11.23,1100,2,0,1146,2012,2,0
19,000001.XSHE,2023-11-22 09:15:00.030,10.0,900,1,0,1147,2012,2,0
20,000001.XSHE,2023-11-22 09:15:00.030,9.68,1200,1,0,1148,2012,2,0
21,000001.XSHE,2023-11-22 09:15:00.030,10.23,1000,1,0,1205,2012,2,0
22,000001.XSHE,2023-11-22 09:15:00.030,10.39,1000,2,0,1206,2012,2,0
23,000001.XSHE,2023-11-22 09:15:00.030,10.44,900,2,0,1230,2012,2,0
24,000001.XSHE,2023-11-22 09:15:00.030,11.31,2600,2,0,1279,2012,2,0
25,000001.XSHE,2023-11-22 09:15:00.030,9.58,400,1,0,1281,2012,2,0
26,000001.XSHE,2023-11-22 09:15:00.030,11.31,3800,2,0,1282,2012,2,0
27,000001.XSHE,2023-11-22 09:15:00.030,11.31,600,2,0,1284,2012,2,0
28,000001.XSHE,2023-11-22 09:15:00.030,11.31,3700,2,0,1313,2012,2,0
29,000001.XSHE,2023-11-22 09:15:00.030,11.31,2100,2,0,1591,2012,2,0
30,000001.XSHE,2023-11-22 09:15:00.030,11.31,400,2,0,1635,2012,2,0
31,000001.XSHE,2023-11-22 09:15:00.030,10.0,1000,1,0,1646,2012,2,0
32,000001.XSHE,2023-11-22 09:15:00.030,10.58,1200,2,0,1659,2012,2,0
33,000001.XSHE,2023-11-22 09:15:00.030,10.91,1200,2,0,1660,2012,2,0
34,000001.XSHE,2023-11-22 09:15:00.030,11.24,1200,2,0,1661,2012,2,0
35,000001.XSHE,2023-11-22 09:15:00.030,11.31,4700,2,0,1664,2012,2,0
36,000001.XSHE,2023-11-22 09:15:00.030,9.58,800,1,0,1688,2012,2,0
37,000001.XSHE,2023-11-22 09:15:00.030,10.45,800,2,0,1834,2012,2,0
38,000001.XSHE,2023-11-22 09:15:00.030,10.5,1600,2,0,1837,2012,2,0
