,scr_num,date_time,trd_stat,preclose_px,open_px,high_px,low_px,last_px,up_limit,down_limit,trd_count,totl_trd_vol,totl_trd_amt,withdraw_buy_count,withdraw_buy_px,withdraw_buy_amount,withdraw_sell_count,withdraw_sell_px,withdraw_sell_amount,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_size6,bid_size7,bid_size8,bid_size9,bid_size10,offer_price1,offer_price2,offer_price3,offer_price4,offer_price5,offer_price6,offer_price7,offer_price8,offer_price9,offer_price10,offer_size1,offer_size2,offer_size3,offer_size4,offer_size5,offer_size6,offer_size7,offer_size8,offer_size9,offer_size10,totl_buy_amount,totl_sell_amount,weighted_avg_sell_px,weighted_avg_buy_px
0,000001.XSHE,2023-11-22 09:30:00.000,T,10.28,10.26,10.27,10.25,10.25,11.31,9.25,309,539700,5536623.09,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,40100,168600,81400,456500,229000,417800,98200,101000,61400,244600,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,1500,217190,695488,368200,85900,139500,277000,697000,128700,321800,5190000,11194743,10.64,9.99
1,000001.XSHE,2023-11-22 09:30:03.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,436,895000,9179619.09,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,800,76600,105500,202000,540700,415700,528300,138300,209400,110100,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,293390,692500,403600,213900,139000,289000,721600,159700,351800,745200,6099700,13355475,10.62,10.02
2,000001.XSHE,2023-11-22 09:30:06.000,T,10.28,10.26,10.27,10.24,10.25,11.31,9.25,472,980600,10057573.09,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,50000,108000,242800,547400,439300,545200,142200,221000,110500,297200,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,300,284690,711200,423700,247600,139000,295500,722600,159800,329700,6661500,13514375,10.62,9.99
3,000001.XSHE,2023-11-22 09:30:09.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,492,1014700,10407715.09,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,900,73800,108300,243900,547500,443900,547900,142200,221000,110500,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,256790,711200,402000,247600,139000,295500,722500,159800,331700,745200,6767700,13512175,10.62,9.99
4,000001.XSHE,2023-11-22 09:30:12.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,507,1042300,10691135.09,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,87500,108300,245200,551400,444900,548900,142200,221500,110800,297200,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,100,234190,711200,402000,248200,139000,295500,722500,159800,332100,6796900,13525075,10.62,9.99
5,000001.XSHE,2023-11-22 09:30:15.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,518,1051200,10782487.09,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,2800,83900,108500,247400,552300,454900,548900,142200,221500,110800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,229590,711200,402000,248200,139000,295500,722500,159800,332100,748200,6805500,13523975,10.62,9.99
6,000001.XSHE,2023-11-22 09:30:18.000,T,10.28,10.26,10.27,10.24,10.25,11.31,9.25,526,1057200,10844051.09,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,83800,113100,249800,574200,454900,548900,142200,221500,110800,299200,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,1000,233490,721500,402000,251200,139000,295500,722500,159800,332100,6848800,13547375,10.62,10.0
7,000001.XSHE,2023-11-22 09:30:21.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,547,1081800,11096380.09,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,120500,121200,251600,575200,455900,629900,142200,221500,110800,299200,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,233690,721500,392000,251200,139000,295500,722500,159800,332100,748200,6978300,13562775,10.62,10.0
8,000001.XSHE,2023-11-22 09:30:24.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,561,1090800,11188767.09,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,5700,119000,121700,251600,577900,455900,631900,142200,221500,110800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,225690,721500,381900,251200,139000,295500,725500,159800,332600,748200,6987900,13561175,10.62,10.0
9,000001.XSHE,2023-11-22 09:30:27.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,608,1136100,11653394.09,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,120600,123300,251600,578600,455900,631900,153200,219500,110800,299300,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,6100,226190,717500,381900,252400,139000,295500,725500,159900,332600,6995000,13569875,10.62,10.0
